0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,,,,,,,,,
,,Plan de mantenimiento CTR,,,,,,,
,,,,,,,,,
,,Especificaciones Tecnicas,,,Ilustración de equipo,,,,
,,"Compresor de tornillo rotativo CSD 75 125 psi 
Conexión eléctrica 460V / 3 / 60Hz
Presión máx. de trabajo 125,0 psig, CFM 475
Conexión al centro de control Disponible
Tipo de fluido del compresor SIGMA FLUID M-460",,,,,,,
,,Partes,Intervalo,Labor de mantenimiento  ,Materiales y Herramientas,,,,
,,Filtros de aire y Mantos de los refirgerantes,Semanal ,Verificar el nivel de aceite del refrigerante,"•	Equipo de protección(Casco, Botas, Guantes y Lentes)
•	Llevar un formato de revisión de rutinas y base de datos
•	Llave de seguridad para abrir gabinete",,,Servicio de Mantenimiento por parte de KAESER,
,,Filtros de aire y Mantos de los refirgerantes,Semanal ,Tablero eléctrico: revisar el manto filtrante,"•	Equipo de protección 
•	Kit de limpieza (Cepillos, Mantas, Agua tibia o detergente suave)",,,Intervalo,Labor de mantenimiento  
,,Filtros de aire y Mantos de los refirgerantes,Bimestral,Limpiar el enfriador,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Kit de limpieza
•	Selladores
•	Llaves y llaves de tubo 
•	Kit de Destornilladores
•	Abrazaderas",,,A las 12.000 h o cada 3 años,Hacer revisión de las válvulas
,,Filtros de aire y Mantos de los refirgerantes,Bimestral,Revisar el manto filtrante del aire refrigerante,"•	Equipo de protección 
•	Agua limpia
•	Kit de limpieza
•	Kit de Destornilladores",,,A las 12.000 h o cada 3 años,Motor del ventilador: Hacer revisión los rodamientos
,,Filtros de aire y Mantos de los refirgerantes,Semestral,Cambiar el manto filtrante de aire refrigerante,"•	Equipo de protección 
•	Repuestos originales KAESER (Manto filtrante del aire refrigerante, Marco retenedor, Sujetadores)
•	Kit de Destornilladores",,,A las 36.000 h o cada 6 años,Hacer reemplazo las líneas de manguera.
,,Filtros de aire y Mantos de los refirgerantes,Semestral,Tablero eléctrico: cambiar el manto filtrante,"•	Equipo de protección 
•	Repuestos originales KAESER (Manto filtrante del tablero eléctrico, Marco retenedor, Sujetadores)
•	Kit de Destornilladores",,,A las 36.000 h o cada 8 años,Motor de accionamiento: Hacer revisión de los rodamientos.
,,Filtros de aire y Mantos de los refirgerantes,Anualmente,Cambiar el elemento filtrante de aire,"•	Equipo de protección 
•	Repuestos originales KAESER (Tuerca, Elemento filtrante de aire, Cubierta, Tuerca)
•	Aire Comprimido seco
•	Kit de Destornilladores
•	Llaves y llaves de tubo
•	Abrazaderas y Selladores",,,,
,,Motores,Anualmente,"Mantenimiento de los rodamientos de los motores(Verificar temperatura, Lubricación y si es necesario cambio de rodamientos, empaques, retenedores, O-rings)","•	Equipo de protección 
•	Grasa para rodamientos EXXON UNIREX N3
•	Kit de limpieza
•	Kit de Destornilladores
•	Cámara termográfica, Equipo de calibración 
•	Extractores de rodamientos y poleas",,,,
,,Motores,Anualmente,Revisar el acople,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de Destornilladores
•	Decibelímetro
•	Repuestos originales KAESER (Acople) ",,,,
,,Motores,Anualmente,Inspecciones generales de los motores (Verificar parametros eléctricos y temperatura),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multimetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Kit de Destornilladores
•	Alicates y tenazas
•	Extractores de rodamientos y poleas
•	Juntas y selladores",,,,
,,Aceite, Trimestral,Cambiar el aceite refrigerante,"•	Equipo de protección 
•	LUBRICANTES SIGMA DE KAESER Lubricante M-460
•	Recolector de aceite
•	Aire Comprimido
•	Manómetro
•	Mangueras
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Kit de Destornilladores",,,,
,,Aceite,Anualmente,Cambiar el filtro de aceite,"•	Equipo de protección 
•	Repuestos originales KAESER (Filtro de Aceite, Acople de manguera, Aceite)
•	Recolector de aceite
•	Manometro
•	Llaves y llaves de tubo
•	Kit de Destornilladores
•	Abrazaderas.",,,,
,,Aceite,Cada 3 años,Cambio del Cartucho Separador de Aceite,"•	Equipo de protección 
•	Repuestos originales KAESER (Cubierta, Colector de impurezas, Tubería de aire, Empaque, Cartucho del separador de aceite)
•	Kit de limpieza
•	Manómetro
•	Llaves y llaves de tubo
•	Kit de Destornilladores",,,,
,,Valvulas,Anualmente,"Revisar funcionamiento de las válvula de alivio de presión, Válvula de entrada, termostática, de control de ventilación, de ventilación, y  neumática (Asegurarse que todas las puertas de acceso estén cerradas)","•	Equipo de protección
•	Llevar un formato de revisión de rutinas y base de datos
•	Kit de Destornillador",,,,
,,Enfriador,Anualmente,Limpiar y Verificar que en las mallas del enfriador no presente fugas,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Kit de limpieza
•	Pinzas de presión 
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Kit de Destornilladores",,,,
,, Sistema  Eléctrico,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas en el hardware(Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Alicates y Tenazas
•	Megóhmetro
•	Multimetro
•	Llaves de cubo",,,,
,,Sistema de tuberias,Anualmente,"Comprobar el estado y la seguridad de las tuberías, mangueras y accesorios.","•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Inspeccíón visual en busca de daños
•	Kit de limpieza
•	Selladores
•	Llaves y llaves de tubo",,,,
