0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
,,Plan de mantenimiento de AE,,,,,,,*Servicio de Mantenimiento que Requieren Grua,
,,,,,,,,,,
,,Especificaciones tecnicas ,,,Ilustración del equipo ,,,,Intervalo,Labor de mantenimiento  
,,"Aireador Serie 2000
Motor de 20 HP de 3 fases 480V/21.33AMP(90%)  230V/42.3AMP(90%)
Reductor de engranaje tamaño 215 modelo TA5215H25 marca DODGE
Sistema de transmisión de poleas
Sistema EVS SHIELD
Estructura SS 240” Serie 2000 
Flotadores con espuma, uno de 27”X12” SS y 25”X10” SS",,,,,,,Anualmente o por Inspección,"•	Cambio de aceite y verificar que no existan fugas
•	Cambio de rodamiento
•	Cambio de filtro de Aire (Breather)
•	Limpieza completa del Aireador (Motor, Reductor y Estructura)
•	Cambio de Chumacera UHMW y del buje de bronce
•	Apriete y comprobación de la integridad de la Estructura
•	Alineamiento entre el Flange y Transmisión "
,,Partes,Intervalo,Labor de Mantenimiento,Materiales y Herramientas,,,,,
,,Motor,Trimestral,Inspección general de los motores (verificar parametros eléctricos y temperatura),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multimetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves de boca y llaves de cubo
•	Kit de Destornilladores
•	Alicates y tenazas
•	Extractores de rodamientos y poleas
•	Retenedores, Juntas y selladores
En caso de repuestos contactar TECO-Westinghouse",,,,,
,,Motor,Anualmente,Limpiar el motor y mantener las aberturas de ventilación despejadas*,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de Destornilladores
•	Kit de limpieza
•	Llaves de boca y llaves de cubo",,,,,
,,Motor,Anualmente,"Mantenimiento de los rodamientos de los motores(Cambio de empaques, retenedores, O-rings, lubricación y verificar temperatura)*","•	Equipo de protección 
•	Grasa de POLIREA para rodamientos, En caso de cambio de rodamientos 630927-630777
•	Llaves de boca y llaves de tubo
•	Kit de Destornilladores
•	Cámara termográfica, Equipo de calibración 
•	Extractores de rodamientos y poleas",,,,,
,,Reductor,Quincenal,Comprobar niveles de aceite ,"•	Equipo de protección 
•	ASEGÚRESE de desconectar o bloquear la alimentación de la unidad
•	Inspección visual del nivel de aceite a través del tubo del reductor
•	Kit de limpieza
•	Llaves de boca y llaves de cubo",,,,,
,,Reductor,Trimestral,"Revisar la integridad de las Fajas y poleas (Medir su tensión, Cambiar si es nesecario)","•	Equipo de protección 
•	Grasa de POLIREA para rodamientos, En caso de cambio de rodamientos 630927-630777
•	Llaves de boca y llaves de tubo
•	Kit de Destornilladores
•	Cámara termográfica, Equipo de calibración 
•	Extractores de rodamientos y poleas",,,,,
,,Reductor,Anualmente,Drenar y sustituir el aceite*,"•	Equipo de protección 
•	Aceite Schaeffer’s 293A Supreme Gear Oil o Aceite VCI #105
•	Recolector de aceite
•	Kit de limpieza
•	Sellador Tru-Blu o equivalentes
•	Llaves de boca y llaves de cubo
•	Nuevo Filtro original de A&N
•	Racores de latón
•	Roscas del racor de latón",,,,,
,,Reductor,Anualmente,Sustituir el filtro de aire (Breather) *,"•	Equipo de protección 
•	Aceite Schaeffer’s 293A Supreme Gear Oil
•	Recolector de aceite
•	Kit de limpieza
•	Sellador Tru-Blu o equivalentes
•	Llaves de boca y llaves de cubo
•	Nuevo Filtro original de A&N
•	Racores de latón
•	Roscas de los racores de latón",,,,,
,,Reductor,Anualmente,"Inspeccionar y comprobar el funcionamiento del reductor de engranajes(Cambio de empaques, retenedores, O-rings, si es necesario, y Verificar temperatura)*","•	Equipo de protección 
•	ASEGÚRESE de desconectar o bloquear la alimentación de la unidad
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Cámara térmica
•	Equipo de calibración",,,,,
,,Reductor,Anualmente,Limpiar el reductor*,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de Destornilladores 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo",,,,,
,,Flange y rotor,Semestral,Comprobación la integridad de todas las fijaciones*,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo",,,,,
,,Estructura,Semanal,Inspeccionar visualmente el aireador en busca de basura o residuos acumulados.*,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Alicates y tenazas
•	Kit de limpieza
•	Llaves de boca y llaves de  cubo",,,,,
,,Estructura,Semanal,Comprobar la integridad del sistema de anclaje de los flotadores y flotadores.*,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Máquina de Soldar
•	Electrodos o Alambres de Soldadura
•	Cinta métrica
•	Medidor de presión de tuercas ",,,,,
,,Estructura,Semanal,Comprobar la integridad de la soldadura de las aspas y marcos de la estructura.,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Máquina de Soldar
•	Electrodos o Alambres de Soldadura",,,,,
,,Estructura,Cada 2 años,Comprobar la integridad de todos los pernos.,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Máquina de Soldar
•	Electrodos o Alambres de Soldadura
•	Cinta métrica
•	Medidor de torque de tuercas ",,,,,
,,Chumaceras UHMW                      ,Anualmente,Comprobar la integridad de la chumacera y collar de cierre,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
En caso de cambio 
•	Chumacera UHMW
•	Collar de cierre de 2 piezas ",,,,,
,,Chumaseras UHMW                      ,Anualmente,Inspeccionar el desgaste del buje de bronce en el extremo del eje,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
En caso de cambio 
•	Martillo 
•	Amoladora y disco “Razor Blade”
•	2 buje de Cobre para el exterior e interior
•	Lija para metal
•	Cubierta de metal para el interior
•	Soplete de acetileno",,,,,
,,Sistema eléctrico,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas (Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas y Tenazas
•	Multímetro",,,,,
